Domain,Type,Sponsoring Organisation,Date
.abbott,generic,"Abbott Laboratories, Inc.",2026-02-10
.abogado,generic,Top Level Domain Holdings Limited,2026-02-10
.academy,generic,"Half Oaks, LLC",2026-02-10
.accountant,generic,dot Accountant Limited,2026-02-10
.accountants,generic,"Knob Town, LLC",2026-02-10
.active,generic,"The Active Network, Inc",2026-02-10
.actor,generic,United TLD Holdco Ltd.,2026-02-10
.ads,generic,Charleston Road Registry Inc.,2026-02-10
.adult,generic,ICM Registry AD LLC,2026-02-10
.afl,generic,Australian Football League,2026-02-10
.agency,generic,"Steel Falls, LLC",2026-02-10
.airforce,generic,United TLD Holdco Ltd.,2026-02-10
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2026-02-10
.alsace,generic,REGION D ALSACE,2026-02-10
.amsterdam,generic,Gemeente Amsterdam,2026-02-10
.android,generic,Charleston Road Registry Inc.,2026-02-10
.apartments,generic,"June Maple, LLC",2026-02-10
.aquarelle,generic,Aquarelle.com,2026-02-10
.archi,generic,STARTING DOT LIMITED,2026-02-10
.army,generic,United TLD Holdco Ltd.,2026-02-10
.associates,generic,"Baxter Hill, LLC",2026-02-10
.attorney,generic,"United TLD Holdco, Ltd",2026-02-10
.auction,generic,"United TLD HoldCo, Ltd.",2026-02-10
.audio,generic,"Uniregistry, Corp.",2026-02-10
.autos,generic,"DERAutos, LLC",2026-02-10
.axa,generic,AXA SA,2026-02-10
.band,generic,"United TLD Holdco, Ltd",2026-02-10
.bank,generic,"fTLD Registry Services, LLC",2026-02-10
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2026-02-10
.barclaycard,generic,Barclays Bank PLC,2026-02-10
.barclays,generic,Barclays Bank PLC,2026-02-10
.bargains,generic,"Half Hallow, LLC",2026-02-10
.bauhaus,generic,Werkhaus GmbH,2026-02-10
.bayern,generic,Bayern Connect GmbH,2026-02-10
.bbc,generic,British Broadcasting Corporation,2026-02-10
.beer,generic,Top Level Domain Holdings Limited,2026-02-10
.berlin,generic,dotBERLIN GmbH & Co. KG,2026-02-10
.best,generic,BestTLD Pty Ltd,2026-02-10
.bid,generic,dot Bid Limited,2026-02-10
.bike,generic,"Grand Hollow, LLC",2026-02-10
.bingo,generic,"Sand Cedar, LLC",2026-02-10
.bio,generic,STARTING DOT LIMITED,2026-02-10
.black,generic,Afilias Limited,2026-02-10
.blackfriday,generic,"Uniregistry, Corp.",2026-02-10
.bloomberg,generic,Bloomberg IP Holdings LLC,2026-02-10
.blue,generic,Afilias Limited,2026-02-10
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,2026-02-10
.bnpparibas,generic,BNP Paribas,2026-02-10
.boats,generic,"DERBoats, LLC",2026-02-10
.bond,generic,Bond University Limited,2026-02-10
.boo,generic,Charleston Road Registry Inc.,2026-02-10
.boutique,generic,"Over Galley, LLC",2026-02-10
.brussels,generic,DNS.be vzw,2026-02-10
.budapest,generic,Top Level Domain Holdings Limited,2026-02-10
.build,generic,Plan Bee LLC,2026-02-10
.builders,generic,"Atomic Madison, LLC",2026-02-10
.business,generic,"Spring Cross, LLC",2026-02-10
.buzz,generic,DOTSTRATEGY CO.,2026-02-10
.bzh,generic,Association www.bzh,2026-02-10
.cab,generic,"Half Sunset, LLC",2026-02-10
.cafe,generic,"Pioneer Canyon, LLC",2026-02-10
.cal,generic,Charleston Road Registry Inc.,2026-02-10
.camera,generic,"Atomic Maple, LLC",2026-02-10
.camp,generic,"Delta Dynamite, LLC",2026-02-10
.cancerresearch,generic,Australian Cancer Research Foundation,2026-02-10
.canon,generic,Canon Inc.,2026-02-10
.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry,2026-02-10
.capital,generic,"Delta Mill, LLC",2026-02-10
.caravan,generic,"Caravan International, Inc.",2026-02-10
.cards,generic,"Foggy Hollow, LLC",2026-02-10
.care,generic,"Goose Cross, LLC",2026-02-10
.career,generic,dotCareer LLC,2026-02-10
.careers,generic,"Wild Corner, LLC",2026-02-10
.cartier,generic,Richemont DNS Inc.,2026-02-10
.casa,generic,Top Level Domain Holdings Limited,2026-02-10
.cash,generic,"Delta Lake, LLC",2026-02-10
.casino,generic,"Binky Sky, LLC",2026-02-10
.catering,generic,New Falls. LLC,2026-02-10
.cbn,generic,"The Christian Broadcasting Network, Inc.",2026-02-10
.center,generic,"Tin Mill, LLC",2026-02-10
.ceo,generic,CEOTLD Pty Ltd,2026-02-10
.cern,generic,"European Organization for Nuclear Research (""CERN"")",2026-02-10
.cfd,generic,DOTCFD REGISTRY LTD,2026-02-10
.channel,generic,Charleston Road Registry Inc.,2026-02-10
.chat,generic,"Sand Fields, LLC",2026-02-10
